Person1,Person2,Relationship,Source
Florence Smith Jacobsen,Theodore (Ted) Jacobsen,Husband,https://www.deseretnews.com/article/865577967/Granddaughter-of-two-LDS-Church-presidents-turns-100.html
Allan F. Packer,Boyd K. Packer,Son,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Charles W. Walton,Ray H. Wood,Son in Law,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Clark B Hinckley,Gordon B. Hinckley,Son,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Dale G. Renlund,Merlin Lybbert,Son in Law,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
David J. Bullock,Boyd K. Packer,Son in Law,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Gregory M. Saylin,Keith K. Hilbig,Son in Law,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Michael Tally Ringwood,Russell M. Nelson,Son in Law,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Miguel Tenorio,Octaviano Tenorio,Son,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Richard A Hunter,Howard W. Hunter,Son,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Spencer W. Kimball,Henry Eyring,Brother in Law,
Henry B. Eyring,Henry Eyring,Son,
Bruce R. McConkie,Joseph Fielding Smith,Son in Law,
J. Golden Kimball,Spencer W. Kimball,Son,
Matthew S. Holland,Jeffrey R. Holland,Son,
